报告日,资产,现金及存放中央银行款项,其中:现金,存放中央银行款,结算准备金,贵金属,存放同业款项,专项央行票据,央行专项扶持资金,存出保证金,拆出资金,其中:拆放同业,拆放金融性公司,存放联行款项,存出发钞基金,交易性金融资产,买入返售金融资产,应收账款,应收票据,应收款项融资,预付账款,应收利息,应收股利,应收租赁款,贴现,进出口押汇,发放贷款及垫款净额,发放贷款及垫款,减:贷款损失准备,代理业务资产,委托贷款及委托投资,存货,待处理抵债资产,减:抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,其中:投资子公司,债权投资,其他债权投资,投资性房地产,衍生金融工具资产,其他权益工具投资,长期应收款,固定资产原值,减:累计折旧,固定资产净值,减:固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,划分为持有待售的资产,减:未确认的收益,应收投资款项,其他应收款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他资产,减:不良资产处置损失专项准备,资产总计,负债,短期借款,向中央银行借款,发行货币债务,同业存入及拆入,其中:同业存放款项,拆入资金,客户存款(吸收存款),联行存放款项,外国政府借款,借入其他资金,央行拨付专项票据资金,保证款项,财政拨款,委托存款,衍生金融工具负债,交易性金融负债,卖出回购金融资产款,票据融资,应解汇款及临时存款,发行存款证,汇出汇款,应付票据,应付账款,预收账款,应付职工薪酬,其中:应付工资,应付福利费,应交税费,应付利息,应付股利,其他应付款,代理业务负债,划分为持有待售的负债,存入保证金,合同负债,贴现负债,预提费用,预计负债,递延收益,长期借款,应付债券,其中:应付次级债券,应付债券：优先股,应付债券：永续债,长期应付款,租赁负债,专项应付款,递延所得税负债,货币兑换,其他负债,负债合计,股东权益,股本,其他权益工具,其中:优先股,其中：永续债,资本公积,其他综合收益,可供出售类投资未实现损益(公允价值变动储备),持有至到期投资未结转损益,减:库藏股,盈余公积,一般风险准备,未确定的投资损失,信托赔偿准备金,未分配利润,其中:拟分配现金股利,外币报表折算差额,其他储备,归属于母公司股东的权益,少数股东权益,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,260145000000.0,,,,25167000000.0,127851000000.0,,,,258285000000.0,,,,,850131000000.0,26530000000.0,,,,,,,,,,3393535000000.0,3464574000000.0,79919000000.0,,,,,,,,,,,,,799583000000.0,151872000000.0,285000000.0,23813000000.0,4693000000.0,,,,,,,10879000000.0,,10879000000.0,,,,,,,,3816000000.0,5556000000.0,7568000000.0,,49764000000.0,34489000000.0,,6033962000000.0,,,91774000000.0,,719573000000.0,650390000000.0,69183000000.0,3749682000000.0,,,,,,,,23604000000.0,206427000000.0,111823000000.0,,,,,,,,12235000000.0,,,7970000000.0,,,,,,,,,,4674000000.0,,,533429000000.0,,,,,4075000000.0,,,,24613000000.0,5489879000000.0,,19406000000.0,80000000000.0,,80000000000.0,80598000000.0,64000000.0,,,,10781000000.0,69520000000.0,,,283714000000.0,,,,544083000000.0,,6033962000000.0,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T19:56:06
20251231,,254225000000.0,,,,30850000000.0,143705000000.0,,,,273791000000.0,,,,,765101000000.0,59526000000.0,,,,,,,,,,3320386000000.0,3390840000000.0,78861000000.0,,,,,,,,,,,,,781961000000.0,163904000000.0,289000000.0,28157000000.0,4727000000.0,,23284000000.0,12129000000.0,11155000000.0,,,11155000000.0,,11155000000.0,,,,,,,,4001000000.0,5760000000.0,7568000000.0,,50259000000.0,20412000000.0,,5925777000000.0,,,223537000000.0,,618737000000.0,565370000000.0,53367000000.0,3633569000000.0,,,,,,,,27391000000.0,186031000000.0,80856000000.0,,,,,,,,14959000000.0,,,5501000000.0,,,,,,,,,,5221000000.0,,,544534000000.0,,,,,4255000000.0,,,,30002000000.0,5374593000000.0,,19406000000.0,99953000000.0,19953000000.0,80000000000.0,80642000000.0,136000000.0,,,,10781000000.0,69478000000.0,,,270788000000.0,,,,551184000000.0,,5925777000000.0,定期报告,是,20260425,CNY,合并期末,2026-03-20T20:30:03
20250930,,263926000000.0,,,,17248000000.0,129388000000.0,,,,234666000000.0,,,,,698487000000.0,17501000000.0,,,,,,,,,,3344599000000.0,3417753000000.0,82405000000.0,,,,,,,,,,,,,764940000000.0,155880000000.0,290000000.0,26661000000.0,5289000000.0,,,,,,,7928000000.0,,7928000000.0,,,,,,,,4279000000.0,5684000000.0,7568000000.0,,49860000000.0,32570000000.0,,5766764000000.0,,,111573000000.0,,537706000000.0,472053000000.0,65653000000.0,3608401000000.0,,,,,,,,25725000000.0,162779000000.0,99298000000.0,,,,,,,,14236000000.0,,,6904000000.0,,,,,,,,,,5439000000.0,,,634581000000.0,,,,,4505000000.0,,,,37687000000.0,5248834000000.0,,19406000000.0,69953000000.0,19953000000.0,50000000000.0,80637000000.0,691000000.0,,,,10781000000.0,68415000000.0,,,268047000000.0,,,,517930000000.0,,5766764000000.0,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T19:28:05
20250630,,264474000000.0,,,,9743000000.0,138511000000.0,,,,276905000000.0,,,,,714895000000.0,44172000000.0,,,,,,,,,,3332319000000.0,3408498000000.0,84629000000.0,,,,,,,,,,,,,751372000000.0,180612000000.0,249000000.0,34570000000.0,5421000000.0,,20287000000.0,12124000000.0,8163000000.0,,,8163000000.0,,8163000000.0,,,,,,,,4397000000.0,5856000000.0,7568000000.0,,50481000000.0,45253000000.0,,5874961000000.0,,,214228000000.0,,598201000000.0,545099000000.0,53102000000.0,3751641000000.0,,,,,,,,32369000000.0,107624000000.0,51009000000.0,,,,,,,,14061000000.0,,,7097000000.0,,,,,,,,,,5584000000.0,,,547071000000.0,,,,,4645000000.0,,,,31369000000.0,5364899000000.0,,19406000000.0,69953000000.0,19953000000.0,50000000000.0,80702000000.0,1647000000.0,,,,10781000000.0,68366000000.0,,,259207000000.0,,,,510062000000.0,,5874961000000.0,定期报告,未审计,20250823,CNY,合并期末,2025-08-22T19:20:04
20250331,,291060000000.0,,,,10670000000.0,174795000000.0,,,,269606000000.0,,,,,532449000000.0,26878000000.0,,,,,,,,,,3336265000000.0,3411713000000.0,85251000000.0,,,,,,,,,,,,,777634000000.0,173453000000.0,266000000.0,44629000000.0,5625000000.0,,,,,,,8399000000.0,,8399000000.0,,,,,,,,4411000000.0,6034000000.0,7568000000.0,,51779000000.0,56337000000.0,,5777858000000.0,,,148417000000.0,,569530000000.0,521292000000.0,48238000000.0,3724299000000.0,,,,,,,,42038000000.0,110365000000.0,70769000000.0,,,,,,,,12912000000.0,,,13776000000.0,,,,,,,,,,5077000000.0,,,542593000000.0,,,,,4651000000.0,,,,27319000000.0,5271746000000.0,,19406000000.0,69953000000.0,19953000000.0,50000000000.0,80709000000.0,1329000000.0,,,,10781000000.0,68313000000.0,,,255621000000.0,,,,506112000000.0,,5777858000000.0,定期报告,未审计,20250419,CNY,合并期末,2025-04-18T18:42:05
20241231,,268973000000.0,,,,12620000000.0,132090000000.0,,,,267252000000.0,,,,,629571000000.0,32719000000.0,,,,,,,,,,3294053000000.0,3374103000000.0,88643000000.0,,,,,,,,,,,,,785075000000.0,176655000000.0,298000000.0,65412000000.0,5773000000.0,,20341000000.0,11707000000.0,8634000000.0,,,8634000000.0,,8634000000.0,,,,,,,,5048000000.0,6238000000.0,7568000000.0,,52329000000.0,18962000000.0,,5769270000000.0,,,86110000000.0,,503518000000.0,447877000000.0,55641000000.0,3592313000000.0,,,,,,,,64553000000.0,137356000000.0,131181000000.0,,,,,,,,16163000000.0,,,14172000000.0,,,,,,,,,,5828000000.0,,,695200000000.0,,,,,5410000000.0,,,,22624000000.0,5274428000000.0,,19406000000.0,69948000000.0,19953000000.0,49995000000.0,80713000000.0,2127000000.0,,,,10781000000.0,68262000000.0,,,243605000000.0,,,,494842000000.0,,5769270000000.0,定期报告,是,20260321,CNY,合并期末,2025-04-18T18:42:05
20240930,,281777000000.0,,,,11224000000.0,123103000000.0,,,,271428000000.0,,,,,620826000000.0,17031000000.0,,,,,,,,,,3303631000000.0,3383271000000.0,90429000000.0,,,,,,,,,,,,,777403000000.0,179794000000.0,358000000.0,40607000000.0,5989000000.0,,,,,,,8753000000.0,,8753000000.0,,,,,,,,5150000000.0,6153000000.0,7568000000.0,,41065000000.0,44128000000.0,,5745988000000.0,,,138640000000.0,,564982000000.0,485239000000.0,79743000000.0,3592532000000.0,,,,,,,,34988000000.0,137265000000.0,106244000000.0,,,,,,,,15790000000.0,,,5175000000.0,,,,,,,,,,7136000000.0,,,613547000000.0,,,,,5523000000.0,,,,33697000000.0,5255519000000.0,,19406000000.0,69944000000.0,19953000000.0,49991000000.0,80715000000.0,1591000000.0,,,,10781000000.0,68133000000.0,,,239899000000.0,,,,490469000000.0,,5745988000000.0,定期报告,未审计,20241019,CNY,合并期末,2024-10-18T18:20:11
20240630,,305998000000.0,,,,11180000000.0,84821000000.0,,,,259821000000.0,,,,,574021000000.0,49461000000.0,,,,,,,,,,3328813000000.0,3413474000000.0,94127000000.0,,,,,,,,,,,,,779113000000.0,153570000000.0,319000000.0,45394000000.0,5909000000.0,,20776000000.0,11595000000.0,9181000000.0,1000000.0,,9180000000.0,,9180000000.0,,,,,,,,5466000000.0,6291000000.0,7568000000.0,,42466000000.0,84642000000.0,,5754033000000.0,,,126298000000.0,,610327000000.0,561362000000.0,48965000000.0,3624024000000.0,,,,,,,,41026000000.0,120297000000.0,39926000000.0,,,,,,,,15418000000.0,,,6395000000.0,,,,,,,,,,9515000000.0,,,607932000000.0,,,,,5852000000.0,,,,65154000000.0,5272164000000.0,,19406000000.0,69944000000.0,19953000000.0,49991000000.0,80761000000.0,1900000000.0,,,,10781000000.0,68091000000.0,,,230986000000.0,,,,481869000000.0,,5754033000000.0,定期报告,未审计,20240816,CNY,合并期末,2024-08-15T20:35:13
20240331,,322076000000.0,,,,12642000000.0,87339000000.0,,,,234163000000.0,,,,,486975000000.0,38704000000.0,,,,,,,,,,3397645000000.0,3482088000000.0,97135000000.0,,,,,,,,,,,,,792167000000.0,160150000000.0,326000000.0,42511000000.0,6217000000.0,,,,,,,9438000000.0,,9438000000.0,,,,,,,,5552000000.0,6438000000.0,7568000000.0,,44308000000.0,75179000000.0,,5729398000000.0,,,165151000000.0,,563647000000.0,504778000000.0,58869000000.0,3507075000000.0,,,,,,,,44856000000.0,47221000000.0,65198000000.0,,,,,,,,14032000000.0,,,11334000000.0,,,,,,,,,,10807000000.0,,,758920000000.0,,,,,5976000000.0,,,,49605000000.0,5243822000000.0,,19406000000.0,69944000000.0,19953000000.0,49991000000.0,80761000000.0,2609000000.0,,,,10781000000.0,68048000000.0,,,234027000000.0,,,,485576000000.0,,5729398000000.0,定期报告,未审计,20240420,CNY,合并期末,2024-04-19T19:15:02
20231231,,274663000000.0,,,,9680000000.0,93597000000.0,,,,220707000000.0,,,,,450293000000.0,110830000000.0,,,,,,,,,,3320110000000.0,3407509000000.0,97353000000.0,,,,,,,,,,,,,772467000000.0,161931000000.0,335000000.0,40521000000.0,6214000000.0,,20808000000.0,10993000000.0,9815000000.0,1000000.0,,9814000000.0,,9814000000.0,,,,,,,,5776000000.0,6622000000.0,7568000000.0,,45757000000.0,50231000000.0,,5587116000000.0,,,208783000000.0,,516850000000.0,467791000000.0,49059000000.0,3458287000000.0,,,,,,,,42220000000.0,31614000000.0,58152000000.0,,,,,,,,17189000000.0,,,9380000000.0,,,,,,,,,,13498000000.0,,,728328000000.0,,,,,6210000000.0,,,,24277000000.0,5114788000000.0,,19406000000.0,69944000000.0,19953000000.0,49991000000.0,80761000000.0,2264000000.0,,,,10781000000.0,67917000000.0,,,221255000000.0,,,,472328000000.0,,5587116000000.0,定期报告,是,20250315,CNY,合并期末,2024-03-14T19:05:04
