报告日,资产,现金及存放中央银行款项,其中:现金,存放中央银行款,结算准备金,贵金属,存放同业款项,专项央行票据,央行专项扶持资金,存出保证金,拆出资金,其中:拆放同业,拆放金融性公司,存放联行款项,存出发钞基金,交易性金融资产,买入返售金融资产,应收账款,应收票据,应收款项融资,预付账款,应收利息,应收股利,应收租赁款,贴现,进出口押汇,发放贷款及垫款净额,发放贷款及垫款,减:贷款损失准备,代理业务资产,委托贷款及委托投资,存货,待处理抵债资产,减:抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,其中:投资子公司,债权投资,其他债权投资,投资性房地产,衍生金融工具资产,其他权益工具投资,长期应收款,固定资产原值,减:累计折旧,固定资产净值,减:固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,划分为持有待售的资产,减:未确认的收益,应收投资款项,其他应收款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他资产,减:不良资产处置损失专项准备,资产总计,负债,短期借款,向中央银行借款,发行货币债务,同业存入及拆入,其中:同业存放款项,拆入资金,客户存款(吸收存款),联行存放款项,外国政府借款,借入其他资金,央行拨付专项票据资金,保证款项,财政拨款,委托存款,衍生金融工具负债,交易性金融负债,卖出回购金融资产款,票据融资,应解汇款及临时存款,发行存款证,汇出汇款,应付票据,应付账款,预收账款,应付职工薪酬,其中:应付工资,应付福利费,应交税费,应付利息,应付股利,其他应付款,代理业务负债,划分为持有待售的负债,存入保证金,合同负债,贴现负债,预提费用,预计负债,递延收益,长期借款,应付债券,其中:应付次级债券,应付债券：优先股,应付债券：永续债,长期应付款,租赁负债,专项应付款,递延所得税负债,货币兑换,其他负债,负债合计,股东权益,股本,其他权益工具,其中:优先股,其中：永续债,资本公积,其他综合收益,可供出售类投资未实现损益(公允价值变动储备),持有至到期投资未结转损益,减:库藏股,盈余公积,一般风险准备,未确定的投资损失,信托赔偿准备金,未分配利润,其中:拟分配现金股利,外币报表折算差额,其他储备,归属于母公司股东的权益,少数股东权益,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,162763508000.0,,,,,30897662000.0,,,,235681090000.0,,,,,193553678000.0,50368002000.0,,,,,,,,,,1448810069000.0,1484605625000.0,42220688000.0,,,,,,,,,,,1216024000.0,,864292044000.0,305385106000.0,,7047084000.0,3559937000.0,,,,,,,9715036000.0,,9715036000.0,,,,,,,,1374707000.0,1594792000.0,,,24625845000.0,37722237000.0,,3378606821000.0,,,169482650000.0,,409729569000.0,384174290000.0,25555279000.0,1847692933000.0,,,,,,,,7694789000.0,1791569000.0,93590238000.0,,,,,,,,5303117000.0,,,5786499000.0,,,,,,,,,,1982821000.0,,,559486586000.0,,,,,1301435000.0,,2388000.0,,11418519000.0,3115263113000.0,,14209018000.0,10365803000.0,,,22026290000.0,4054733000.0,,,,75236703000.0,48306245000.0,,,88825613000.0,,,,263024405000.0,319303000.0,3378606821000.0,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T21:30:08
20251231,,150041246000.0,,,,,28881443000.0,,,,222846584000.0,,,,,278305103000.0,10977799000.0,,,,,,,,,,1405488838000.0,1440809980000.0,41632860000.0,,,,,,,,,,,1190239000.0,,832596903000.0,292542401000.0,,8024311000.0,4071212000.0,,16188857000.0,6340535000.0,9848322000.0,,,9848322000.0,,9848322000.0,,,,,,,,1366396000.0,1654626000.0,,,24098712000.0,36817597000.0,,3308751732000.0,,,140261491000.0,,444968790000.0,427441269000.0,17527521000.0,1757869285000.0,,,,,,,,7452922000.0,620776000.0,122607430000.0,,,,,,,,6601755000.0,,,4521860000.0,,,,,,,,,,2975909000.0,,,554554188000.0,,,,,1277683000.0,,3196000.0,,8510807000.0,3052226092000.0,,14209010000.0,10365804000.0,,,22026224000.0,3564470000.0,,,,75236703000.0,48265168000.0,,,82533072000.0,,,,256200451000.0,325189000.0,3308751732000.0,定期报告,是,20260424,CNY,合并期末,2026-04-23T21:30:08
20250930,,148947423000.0,,,,,51207205000.0,,,,214951166000.0,,,,,298268550000.0,17043035000.0,,,,,,,,,,1404134007000.0,1441646055000.0,43316731000.0,,,,,,,,,,,1160046000.0,,771580539000.0,308118339000.0,,7687743000.0,4122057000.0,,,,,,,9943801000.0,,9943801000.0,,,,,,,,1458624000.0,1338747000.0,,,24434516000.0,43606156000.0,,3308001954000.0,,,113161882000.0,,338754266000.0,319939566000.0,18814700000.0,1829608828000.0,,,,,,,,7358675000.0,761732000.0,125516896000.0,,,,,,,,5967384000.0,,,3621990000.0,,,,,,,,,,4053230000.0,,,601877987000.0,,,,,1361162000.0,,222000.0,,15438473000.0,3047482727000.0,,14209000000.0,20322975000.0,,,22069435000.0,2867079000.0,,,,75236703000.0,48228697000.0,,,77255137000.0,,,,260189026000.0,330201000.0,3308001954000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T20:12:05
20250630,,134546203000.0,,,,,46988409000.0,,,,224299157000.0,,,,,289612674000.0,48176660000.0,,,,,,,,,,1401019637000.0,1436983713000.0,41077847000.0,,,,,,,,,,,1122934000.0,,810447365000.0,247407414000.0,,10520997000.0,4177807000.0,,16068188000.0,6038359000.0,10029829000.0,,,10029829000.0,,10029829000.0,,,,,,,,1501888000.0,1372641000.0,,,22216178000.0,40274059000.0,,3293713852000.0,,,82081239000.0,,365984430000.0,340069065000.0,25915365000.0,1808250661000.0,,,,,,,,9936335000.0,2663762000.0,167988992000.0,,,,,,,,5770208000.0,,,2881135000.0,,,,,,,,,,3142956000.0,,,567137985000.0,,,,,1424757000.0,,,,12618126000.0,3029880586000.0,,14208972000.0,20322980000.0,,,22069192000.0,6747967000.0,,,,75236703000.0,48202217000.0,,,76699987000.0,,,,263488018000.0,345248000.0,3293713852000.0,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T20:22:04
20250331,,137470379000.0,,,,,44198688000.0,,,,234819203000.0,,,,,273542836000.0,45401902000.0,,,,,,,,,,1383881050000.0,1423749908000.0,45498602000.0,,,,,,,,,,,1094154000.0,,864447794000.0,186233030000.0,,14744077000.0,4548404000.0,,,,,,,10120964000.0,,10120964000.0,,,,,,,,1541927000.0,1377131000.0,,,22387103000.0,44956061000.0,,3270764703000.0,,,82114094000.0,,323105082000.0,299754818000.0,23350264000.0,1790423388000.0,,,,,,,,13921218000.0,929057000.0,200664024000.0,,,,,,,,5289622000.0,,,3997983000.0,,,,,,,,,,3342898000.0,,,569831090000.0,,,,,1483933000.0,,,,16474209000.0,3011576598000.0,,14206706000.0,20323348000.0,,,22049177000.0,5819635000.0,,,,68368040000.0,45681229000.0,,,82276498000.0,,,,258724633000.0,463472000.0,3270764703000.0,定期报告,未审计,20250425,CNY,合并期末,2025-04-24T23:10:04
20241231,,133442836000.0,,,,,24037004000.0,,,,237353422000.0,,,,,299239381000.0,9088556000.0,,,,,,,,,,1366902931000.0,1405755816000.0,44192083000.0,,,,,,,,,,,1068007000.0,,909311593000.0,159896555000.0,,21741025000.0,4413485000.0,,15959062000.0,5738693000.0,10220369000.0,,,10220369000.0,,10220369000.0,,,,,,,,1653746000.0,1354805000.0,,,21275208000.0,25656678000.0,,3226655601000.0,,,95694240000.0,,447229909000.0,421559684000.0,25670225000.0,1740584683000.0,,,,,,,,21747496000.0,1198685000.0,180156606000.0,,,,,,,,6590290000.0,,,2885912000.0,,,,,,,,,,3794576000.0,,,463665944000.0,,,,,1588257000.0,,,,6862269000.0,2971998867000.0,,14206694000.0,20323350000.0,,,22049067000.0,7580396000.0,,,,68368040000.0,45656685000.0,,,76008981000.0,,,,254193213000.0,463521000.0,3226655601000.0,定期报告,是,20260424,CNY,合并期末,2025-04-24T23:10:04
20240930,,137391234000.0,,,,,21416002000.0,,,,228872741000.0,,,,,286786389000.0,19080724000.0,,,,,,,,,,1373654470000.0,1414018053000.0,47053285000.0,,,,,,,,,,,1041218000.0,,937385279000.0,133177890000.0,,12121254000.0,3951410000.0,,,,,,188183000.0,10673704000.0,,10861887000.0,,,,,,,,1709082000.0,1163224000.0,,,21459584000.0,36696304000.0,,3226948963000.0,,,114035770000.0,,442633457000.0,408625495000.0,34007962000.0,1777069351000.0,,,,,,,,11306263000.0,3343598000.0,154301281000.0,,,,,,,,6049839000.0,,,2276334000.0,,,,,,,,,,3944826000.0,,,451986255000.0,,,,,1641813000.0,,,,11235548000.0,2979824335000.0,,14206673000.0,20323353000.0,,,22048877000.0,5235085000.0,,,,68368040000.0,45618802000.0,,,70856587000.0,,,,246657417000.0,467211000.0,3226948963000.0,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T18:20:07
20240630,,136992354000.0,,,,,20255588000.0,,,,239253564000.0,,,,,303853344000.0,5042019000.0,,,,,,,,,,1384507380000.0,1424482243000.0,45389363000.0,,,,,,,,,,,1008579000.0,,917391157000.0,127359255000.0,,13959421000.0,3632788000.0,,16658491000.0,5867028000.0,10791463000.0,,190839000.0,10791463000.0,,10982302000.0,,,,,,,,1725384000.0,1189319000.0,,,21755226000.0,34288957000.0,,3223330590000.0,,,122863007000.0,,447667371000.0,420676145000.0,26991226000.0,1780617013000.0,,,,,,,,15684458000.0,4874003000.0,119678865000.0,,,,,,,,5814807000.0,,,2809359000.0,,,,,,,,,,3502726000.0,,,462546215000.0,,,,,1671333000.0,,961000.0,,9394112000.0,2977124230000.0,,14206672000.0,20323353000.0,,,22048870000.0,4961337000.0,,,,68368040000.0,45594971000.0,,,70241002000.0,,,,245744245000.0,462115000.0,3223330590000.0,定期报告,未审计,20240829,CNY,合并期末,2024-08-28T19:50:07
20240331,,137853605000.0,,,,,21846499000.0,,,,241953637000.0,,,,,361486581000.0,7266425000.0,,,,,,,,,,1377328887000.0,1416593468000.0,46625568000.0,,,,,,,,,,,984317000.0,,843625762000.0,73435951000.0,,12306599000.0,3806839000.0,,,,,,,10807900000.0,,10807900000.0,,,,,,,,1779093000.0,1287319000.0,,,22078987000.0,36895222000.0,,3154743623000.0,,,134575462000.0,,521521439000.0,499812189000.0,21709250000.0,1715725315000.0,,,,,,,,13909515000.0,4094972000.0,115767083000.0,,,,,,,,5349577000.0,,,3117065000.0,,,,,,,,,,3666827000.0,,,363416676000.0,,,,,1726888000.0,,311000.0,,26186677000.0,2909057807000.0,,14206671000.0,20323354000.0,,,22048857000.0,4714030000.0,,,,61531844000.0,42073834000.0,,,80314999000.0,,,,245213589000.0,472227000.0,3154743623000.0,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T22:50:04
20231231,,136346779000.0,,,,,21568090000.0,,,,214704565000.0,,,,,361217008000.0,4721348000.0,,,,,,,,,,1338811558000.0,1377034923000.0,43450863000.0,,,,,,,,,,,962814000.0,,839229052000.0,101490699000.0,,14575526000.0,3335499000.0,,15827397000.0,5268348000.0,10559049000.0,,,10559049000.0,,10559049000.0,,,,,,,,1729922000.0,1309048000.0,,,21954617000.0,13000899000.0,,3085516473000.0,,,158750757000.0,,493417302000.0,466274033000.0,27143269000.0,1671385095000.0,,,,,,,,13364449000.0,2123327000.0,119589441000.0,,,,,,,,6458606000.0,,,2287133000.0,,,,,,,,,,3919860000.0,,,366558084000.0,,,,,1648284000.0,,311000.0,,6964662000.0,2846467311000.0,,14206670000.0,20323354000.0,,,22048843000.0,4229610000.0,,,,61531844000.0,42053292000.0,,,74185217000.0,,,,238578830000.0,470332000.0,3085516473000.0,定期报告,是,20250425,CNY,合并期末,2024-04-25T22:45:04
