报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,4391640589.0,,,,,,6476447190.0,,6476447190.0,75140696.0,89694767.0,,,,,,,,,,,362252019.0,4913409150.0,,,,2190558742.0,263179496.0,18762322649.0,,,,,,,,34034141.0,,,1037895011.0,85015412.0,,,,,,2489942230.0,,,,,6433767012.0,,,,,17438280.0,392158532.0,,,2659348.0,,421137273.0,3043649311.0,13957696550.0,32720019199.0,,3071898556.0,,,,,,7331349707.0,956137741.0,6375211966.0,,81955931.0,,,527652888.0,335280893.0,,,,,,644219823.0,,,,,,,,,,,,,,646059943.0,,12638417741.0,,2625691851.0,,,,9949535.0,,,,,,417041221.0,224937480.0,,3277620087.0,15916037828.0,,1924363537.0,,,,1155436149.0,,758031713.0,,1164838730.0,,,11787199855.0,,,16789869984.0,14111387.0,16803981371.0,32720019199.0,定期报告,未审计,20260423,CNY,合并期末,2026-04-22T18:26:54
20251231,,2579107305.0,,,,,,5507227425.0,67180.0,5507160245.0,58147038.0,98677645.0,,,,,,,,,,471602828.0,471602828.0,4245940570.0,,,,2835332099.0,179139300.0,15975174210.0,,,,,,,,33590103.0,15829877.0,,486771550.0,85015412.0,,9701629011.0,3836125200.0,5865503811.0,159166613.0,2459951800.0,2459951800.0,,5706337198.0,,5706337198.0,,,,,19357551.0,388676082.0,,,4242650.0,,322055969.0,2757271637.0,12279099829.0,28254274039.0,,2169945664.0,,,,,,6629639309.0,934129326.0,5695509983.0,,65820049.0,,,530245542.0,274156289.0,,,,,554114528.0,554114528.0,,,,,,,,,,,,,,500148565.0,,10724069946.0,,1885660527.0,,,,11838025.0,,,,,,417148296.0,87470566.0,,2402117414.0,13126187360.0,,1924363537.0,,,,1070200576.0,,408183311.0,,1164838730.0,,,10545118488.0,,,15112704642.0,15382037.0,15128086679.0,28254274039.0,定期报告,是,20260423,CNY,合并期末,2026-03-24T19:00:09
20250930,,3071447665.0,,,,,,4869994259.0,155450.0,4869838809.0,174864339.0,88564198.0,,,,,,,,,,,382743240.0,3592309450.0,,,,2665474404.0,143683468.0,14989081023.0,,,,,,,,16712110.0,16009663.0,,473836740.0,72912466.0,,,,,,2480883311.0,,,,,5216729002.0,,,,,,370839404.0,,,3089656.0,,211437376.0,2463081903.0,11325531631.0,26314612654.0,,3025257465.0,,,,,,5662421511.0,826579387.0,4835842124.0,,63794271.0,,,439725468.0,218410070.0,,,,,,555072888.0,,,,,,,,,,,,,,766512191.0,,10731193864.0,,1160694745.0,,,,,,,,,,333068329.0,85234182.0,,1578997256.0,12310191120.0,,1924363537.0,,,,1028561372.0,,388876481.0,,1164838730.0,,,9440430211.0,,,13947070331.0,57351203.0,14004421534.0,26314612654.0,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T19:22:10
20250630,,2740923285.0,,,20150889.0,,,4406160116.0,25619894.0,4380540222.0,14105219.0,68676958.0,,,,,,,,,,272340449.0,272340449.0,3099441471.0,,,,1999387664.0,92258707.0,12713444758.0,,,,,,,,20228704.0,14014710.0,,344076623.0,72912466.0,,8900729815.0,3712301049.0,5188428766.0,167042343.0,2235665190.0,,,5021386423.0,,5021386423.0,,,,,,371480996.0,,,3692440.0,,212052153.0,3454811755.0,11750321460.0,24463766218.0,,3543553245.0,,,,,,5222873575.0,749614500.0,4473259075.0,,52906881.0,,,348682291.0,181117720.0,,,,,468968371.0,468968371.0,,,,,,,,,,,,,,770357729.0,,10588459812.0,,707260235.0,,,,,,,,,,319705901.0,52755671.0,,1079721807.0,11668181619.0,,1923712385.0,,,,958112863.0,,286533572.0,,1164838730.0,,,8405593163.0,,,12738790713.0,56793886.0,12795584599.0,24463766218.0,定期报告,未审计,20250822,CNY,合并期末,2025-08-21T19:38:06
20250331,,3232855317.0,,,20009334.0,,,3993791773.0,,3993791773.0,11150608.0,58533221.0,,,,,,,,,,,357024009.0,2798877418.0,,,,1435977777.0,108014968.0,12016234425.0,,,,,,,,22007838.0,13048445.0,,336278396.0,72912466.0,,,,,,1886985984.0,,,,,4235139772.0,,,,,,366902238.0,,,4311313.0,,181273611.0,3887883337.0,11006743400.0,23022977825.0,,2898313852.0,,,,,,4468291995.0,745526795.0,3722765200.0,,43888636.0,,,379272748.0,206931947.0,,,,,,434192358.0,,,,,,,,,,,,,,378342656.0,,8809234192.0,,1122242034.0,,,,,,,,,,325187926.0,54027364.0,,1501457324.0,10310691516.0,,1922600530.0,,,,879870383.0,,239746874.0,,1164838730.0,,,8446971892.0,,,12654028409.0,58257900.0,12712286309.0,23022977825.0,定期报告,未审计,20250425,CNY,合并期末,2025-04-24T19:12:06
20241231,,1542702624.0,,,,,,4043713270.0,300574.0,4043412696.0,73448158.0,41121164.0,,,,,,,,,,450774365.0,450774365.0,2436102152.0,,,,920898655.0,168911768.0,9677672156.0,,,,,,,,24656719.0,13092814.0,,430319586.0,69912466.0,,7740317951.0,3523987413.0,4216330538.0,183511454.0,2048442090.0,2048442090.0,,4032819084.0,,4032819084.0,,,,,,365441642.0,,,3977131.0,,166363120.0,4347238867.0,11502263519.0,21179935675.0,,1654527546.0,,,,,,4236850089.0,619517484.0,3617332605.0,,28881142.0,,,477140154.0,136456687.0,,,,,380673534.0,380673534.0,,,,,,,,,,,,,,662047963.0,,7576577115.0,,1309935946.0,,,,,,,,,,314446256.0,77550199.0,,1701932401.0,9278509516.0,,1918599320.0,,,,762822916.0,,310011033.0,,1164838730.0,,,7684506492.0,,,11840778491.0,60647668.0,11901426159.0,21179935675.0,定期报告,是,20260325,CNY,合并期末,2025-03-25T20:35:08
20240930,,2526143474.0,,,,,,2974744847.0,300574.0,2974444273.0,43698271.0,41189797.0,,,,,,,,,,,22765822.0,2690767746.0,,,,980893133.0,126871740.0,9407074830.0,,,,,,,,26768548.0,20297057.0,,301897244.0,70744027.0,,,,,,1260240916.0,,,,,3786944642.0,,,,,,370123024.0,,,3714450.0,,176276035.0,3683987183.0,9700993126.0,19108067956.0,,2251578137.0,,,,,,3423054943.0,528248775.0,2894806168.0,,31031628.0,,,366481587.0,161513183.0,,,,,,323532782.0,,,,,,,,,,,,,,634038647.0,,7191230907.0,,557165599.0,,,,,,,,,,318895971.0,47085743.0,,923147313.0,8114378220.0,,1915306764.0,,,,683364392.0,,242329681.0,,908767611.0,,,7201730303.0,,,10951498751.0,42190985.0,10993689736.0,19108067956.0,定期报告,未审计,20241025,CNY,合并期末,2024-10-24T19:00:06
20240630,,2322520077.0,,,,,,2637674563.0,395067.0,2637279496.0,20615319.0,24746593.0,,,,,,,,,,,22297842.0,2481646848.0,,,,1114643849.0,106269337.0,8730414428.0,,,,,,,,33478272.0,20615615.0,,317778147.0,70744027.0,,7281851015.0,3447972700.0,3833878315.0,126802119.0,854064638.0,,,3707076196.0,,3707076196.0,,,,,13359.0,362615896.0,,,3511686.0,,184093715.0,3752217530.0,9306209081.0,18036623509.0,,2060312825.0,,,,,,3219408058.0,521109359.0,2698298699.0,,30798847.0,,,288150233.0,157464872.0,,,,,,270074356.0,,,,,,,,,,,,,,937418480.0,,6963627671.0,,560855768.0,,,,,,,,,,315814860.0,51814998.0,,928485626.0,7892113297.0,,1913888644.0,,,,660189113.0,,121118951.0,,908767611.0,,,6494171177.0,,,10098135496.0,46374716.0,10144510212.0,18036623509.0,定期报告,未审计,20240823,CNY,合并期末,2024-08-23T02:40:03
20240331,,3827158706.0,,,,,,2429241901.0,395067.0,2428846834.0,45881537.0,21578576.0,,,,,,,,,,,37063511.0,2076412851.0,,,,1009639456.0,127645310.0,9574621848.0,,,,,,,,42990886.0,20938415.0,,254434299.0,70744027.0,,,,,,618020183.0,,,,,3675970710.0,,,,,33396.0,365334351.0,,,3208064.0,,105785566.0,3002559574.0,8160019471.0,17734641319.0,,2246585900.0,,,,,,2877356808.0,593529393.0,2283827415.0,,26997981.0,,,288236487.0,113821866.0,,,,,,256468804.0,,,,,,,,,,,,,,590672797.0,,6400140643.0,,574040621.0,,,,,,,,,,324389721.0,37173028.0,,935603370.0,7335744013.0,,1912678793.0,,,,618018741.0,,82142147.0,,908767611.0,,,6824909823.0,,,10346517115.0,52380191.0,10398897306.0,17734641319.0,定期报告,未审计,20240423,CNY,合并期末,2024-04-22T19:45:05
20231231,,2097886948.0,,,50229583.0,,,2693385126.0,6252202.0,2687132924.0,1083732.0,16365592.0,,,,,,,,,,23273025.0,23273025.0,1749222944.0,,,,1136953481.0,72465018.0,7840865449.0,,,,,,,,48929403.0,22940447.0,,210873899.0,67744027.0,,7181158872.0,3379073606.0,3802085266.0,112586175.0,569962693.0,569962693.0,,3689499091.0,,3689499091.0,,,,,82839.0,374927312.0,,,3615584.0,,90093887.0,3115945995.0,8194615177.0,16035480626.0,,1434492965.0,,,,,,2623702610.0,374069977.0,2249632633.0,,22641740.0,,,296544301.0,92271862.0,,,,,228768128.0,228768128.0,,,,,,,,,,,,,,324352684.0,,5022774290.0,,846492518.0,,,,,,,,,,302736644.0,26253537.0,,1175482699.0,6198256989.0,,1908578180.0,,,,556847663.0,,100416357.0,,908767611.0,,,6310097822.0,,,9784707633.0,52516004.0,9837223637.0,16035480626.0,定期报告,是,20251128,CNY,合并期末,2024-04-22T19:45:05
