报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额,收回的买入返售项净额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,收到利息,收到的手续费,金融企业往来收入收到的现金,中间业务收入收到的现金,证券投资收益收到的现金,汇兑净收益收到的现金,存入保证金收到的现金,销售商品、提供劳务收到的现金,贵金属现金流入,收到的委托资金,贴现收到的现金,其他负债增加流入的现金,收回的已于以前年度核销的贷款及应收款项,已核销呆账贷款及利息收回,处置抵债资产收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,存放中央银行,存放同业及其他机构存款,拆出资金净现金流出,偿还中央银行借款,支付的存款,减少同业及其他金融机构存放净额,偿还同业及其他金融机构拆入净额,偿还卖出回购款项净额,证券投资支出的现金,支付买入返售款项净额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,支付的利息,手续费支出支付的现金,支付给职工以及为职工支付的现金,以现金支付的营业费用,与金融机构往来支出的现金净额,贴现支付的现金,委托及代理业务减少额,贵金属现金流出,购买商品、接受劳务支付的现金,借入其他资金净减少额,其他资产减少支出的现金,为交易目的而持有的金融资产净增加额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,分得股利或利润所收到的现金,取得债券利息收入收到的现金,处置固定资产、无形资产及其他资产而收到的现金,处置股权投资所收到的现金,处置子公司及其他单位收到的现金,取得子公司及其他营业单位所收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,权益性投资增加支付的现金,债券投资所支付的现金,购买子公司、联营企业及合营企业投资所支付的现金净额,增加在建工程所支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,发行证券化资产所吸收的现金,取得借款收到的现金,发行债券收到的现金,发行次级债券收到的现金,增加股本所收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息支付的现金,偿付利息所支付的现金,支付新股发行费用,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,1467602000000.0,,,,,,141789000000.0,,,223292000000.0,,,,,,,,,,,,,,,,,,61661000000.0,1894344000000.0,1007024000000.0,105362000000.0,,,,186990000000.0,,,36503000000.0,,,226000000.0,,158987000000.0,,,40729000000.0,,,,,,,,,,19190000000.0,143125000000.0,1698136000000.0,196208000000.0,,1058798000000.0,65927000000.0,,,161000000.0,,,,,1124886000000.0,1518603000000.0,,,,,11806000000.0,92000000.0,,1530501000000.0,-405615000000.0,,,,,126330000000.0,,,,126330000000.0,293201000000.0,19950000000.0,,,1776000000.0,314927000000.0,-188597000000.0,-29089000000.0,-427093000000.0,,,,,2304843000000.0,1877750000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:38:03
20251231,,,621291000000.0,2230543000000.0,,,,,,,,,902177000000.0,,,,,,,,,,,,,,,,,,255485000000.0,4009496000000.0,1930152000000.0,34232000000.0,,,,,,,56007000000.0,76158000000.0,,1177000000.0,,516890000000.0,,,119825000000.0,,,,,,,,,,89916000000.0,373109000000.0,3197466000000.0,812030000000.0,,4916474000000.0,243698000000.0,,,13394000000.0,,3507000000.0,,,5177073000000.0,6195501000000.0,,,,,51273000000.0,2259000000.0,,6249033000000.0,-1071960000000.0,,240002000000.0,,,2033109000000.0,,,,2273111000000.0,1812634000000.0,152121000000.0,,,7245000000.0,2084486000000.0,188625000000.0,7219000000.0,-64086000000.0,,,,,2368929000000.0,2304843000000.0,定期报告,是,20260331,CNY,合并期末,2026-03-30T20:12:03
20250930,,,566710000000.0,1466081000000.0,,,,16397000000.0,,,,,680500000000.0,,,,,,,,,,,,,,,,,,95655000000.0,2825343000000.0,1819866000000.0,67588000000.0,,,,,,,,117487000000.0,,1427000000.0,,394310000000.0,,,90493000000.0,,,,,,,,,,64999000000.0,217947000000.0,2774117000000.0,51226000000.0,,3628779000000.0,186601000000.0,,,9960000000.0,,790000000.0,,,3826130000000.0,4628804000000.0,,,,,28202000000.0,2035000000.0,,4659041000000.0,-832911000000.0,,239932000000.0,,,1492584000000.0,,,,1732516000000.0,1179169000000.0,113568000000.0,,,5450000000.0,1360673000000.0,371843000000.0,24523000000.0,-385319000000.0,,,,,2368929000000.0,1983610000000.0,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:52:03
20250630,,,431413000000.0,1145727000000.0,,,,60152000000.0,,,,,465520000000.0,,,,,,,,,,,,,,,,,,144948000000.0,2247760000000.0,1504725000000.0,14909000000.0,,,,,,,,124613000000.0,,991000000.0,,267514000000.0,,,64151000000.0,,,,,,,,,,48167000000.0,189051000000.0,2214121000000.0,33639000000.0,,2791172000000.0,118542000000.0,,,5691000000.0,,870000000.0,,,2916275000000.0,3545382000000.0,,,,,16508000000.0,2045000000.0,,3563935000000.0,-647660000000.0,,166942000000.0,,,956824000000.0,,,,1123766000000.0,871788000000.0,98146000000.0,,,3747000000.0,1036167000000.0,87599000000.0,40238000000.0,-486184000000.0,,,,,2368929000000.0,1882745000000.0,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T18:36:05
20250331,,,172650000000.0,1109914000000.0,,,,,,,89000000.0,,233834000000.0,,,,,,,,,,,,,,,,,,127351000000.0,1643838000000.0,1035528000000.0,159575000000.0,,,,,,,24533000000.0,112177000000.0,,,,140517000000.0,,,39287000000.0,,,,,,,,,,28701000000.0,143983000000.0,1684301000000.0,-40463000000.0,,1175394000000.0,58140000000.0,,,1140000000.0,,,,,1234674000000.0,1600188000000.0,,,,,5122000000.0,35000000.0,,1605345000000.0,-370671000000.0,,,,,221714000000.0,,,,221714000000.0,323565000000.0,44886000000.0,,,2376000000.0,391057000000.0,-169343000000.0,15422000000.0,-565055000000.0,,,,,2368929000000.0,1803874000000.0,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T19:02:03
20241231,,,,1913535000000.0,,,,50058000000.0,,67912000000.0,7175000000.0,,984586000000.0,,,,,,,,,,,,,,,,,,218340000000.0,3298236000000.0,1688167000000.0,,,,,120460000000.0,,,,,,,,517803000000.0,,,110291000000.0,,,,,,,,,,114782000000.0,195767000000.0,2747270000000.0,550966000000.0,,4792733000000.0,225881000000.0,,,10907000000.0,,23000000.0,,2535000000.0,5032079000000.0,5809699000000.0,,,,,27236000000.0,1130000000.0,,5838065000000.0,-805986000000.0,,49996000000.0,,,1497728000000.0,,,,1547724000000.0,1263876000000.0,125517000000.0,,,6471000000.0,1435864000000.0,111860000000.0,-4636000000.0,-147796000000.0,,,,,2516725000000.0,2368929000000.0,定期报告,是,20260331,CNY,合并期末,2025-03-26T19:05:06
20240930,,,,1506392000000.0,,,,41944000000.0,,,8592000000.0,,742515000000.0,,,,,,,,,,,,,,,,,,561964000000.0,2861407000000.0,1502375000000.0,45481000000.0,,,,338117000000.0,,,,52663000000.0,,,,392048000000.0,,,84226000000.0,,,,,,,,,,87587000000.0,190771000000.0,2693268000000.0,168139000000.0,,3413636000000.0,172987000000.0,,,10489000000.0,,55000000.0,,2537000000.0,3599704000000.0,4398359000000.0,,,,,15880000000.0,2179000000.0,,4416418000000.0,-816714000000.0,,29998000000.0,,,1030346000000.0,,,,1060344000000.0,777940000000.0,112521000000.0,,,4877000000.0,935338000000.0,125006000000.0,-3951000000.0,-527520000000.0,,,,,2516725000000.0,1989205000000.0,定期报告,未审计,20251029,CNY,合并期末,2024-10-30T18:05:05
20240630,,,,1242638000000.0,,,,20141000000.0,,16805000000.0,8860000000.0,,506061000000.0,,,,,,,,,,,,,,,,,,125319000000.0,1923690000000.0,1198218000000.0,,,,,216410000000.0,,,,,,,,280793000000.0,,,60086000000.0,,,,,,,,,,73720000000.0,160909000000.0,1990136000000.0,-66446000000.0,,2039806000000.0,109875000000.0,,,3484000000.0,,55000000.0,,2537000000.0,2155757000000.0,2308322000000.0,,,,,6415000000.0,107000000.0,,2314844000000.0,-159087000000.0,,,,,688602000000.0,,,,688602000000.0,444536000000.0,23788000000.0,,,3166000000.0,511490000000.0,177112000000.0,-7474000000.0,-55895000000.0,,,,,2516725000000.0,2460830000000.0,定期报告,未审计,20250830,CNY,合并期末,2024-08-29T20:20:04
20240331,,,,1280783000000.0,,,,,,20588000000.0,5017000000.0,,252625000000.0,,,,,,,,,,,,,,,,,,91982000000.0,1650995000000.0,931049000000.0,126221000000.0,,,,214200000000.0,,,41883000000.0,,,,,153759000000.0,,,35554000000.0,,,,,,,,,,56562000000.0,88527000000.0,1647755000000.0,3240000000.0,,1170719000000.0,51889000000.0,,,994000000.0,,,,,1223602000000.0,1368275000000.0,,,,,2526000000.0,817000000.0,,1371618000000.0,-148016000000.0,,,,,206948000000.0,,,,206948000000.0,104128000000.0,8362000000.0,,,1696000000.0,154186000000.0,52762000000.0,-8666000000.0,-100680000000.0,,,,,2516725000000.0,2416045000000.0,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T20:25:03
20231231,,,317365000000.0,2665808000000.0,,,,27980000000.0,,,,,979530000000.0,,,,,,,,,,,,,,,,,,216196000000.0,4206879000000.0,2461455000000.0,38193000000.0,,,,,,,,51201000000.0,,1235000000.0,,501960000000.0,,,103653000000.0,,,,,,,,,,99245000000.0,133491000000.0,3390433000000.0,816446000000.0,,3631945000000.0,186530000000.0,,,5553000000.0,,161000000.0,,,3824189000000.0,4332464000000.0,,,,,29148000000.0,2005000000.0,,4363617000000.0,-539428000000.0,,30062000000.0,,,1316278000000.0,,,,1346340000000.0,1077585000000.0,120187000000.0,,,7410000000.0,1226478000000.0,119862000000.0,28379000000.0,425259000000.0,,,,,2091466000000.0,2516725000000.0,定期报告,是,20250327,CNY,合并期末,2024-03-28T20:35:04
20230930,,,106973000000.0,2480512000000.0,,,,,,7330000000.0,2526000000.0,,726872000000.0,,,,,,,,,,,,,,,,,,164018000000.0,3488231000000.0,2223481000000.0,123878000000.0,,,,,,,2796000000.0,,,,,358837000000.0,,,80420000000.0,,,,,,,,,,80758000000.0,131902000000.0,3002072000000.0,486159000000.0,,2613674000000.0,142128000000.0,,,2942000000.0,,,,,2758744000000.0,3018652000000.0,,,,,18679000000.0,225000000.0,,3037556000000.0,-278812000000.0,,30062000000.0,,,813314000000.0,,,,843376000000.0,740328000000.0,105174000000.0,,,22665000000.0,868167000000.0,-24791000000.0,26959000000.0,209515000000.0,,,,,2091466000000.0,2300981000000.0,定期报告,未审计,20241031,CNY,合并期末,2023-10-30T18:30:03
20230630,,,93635000000.0,2239700000000.0,,,,90911000000.0,,,,,482783000000.0,,,,,,,,,,,,,,,,,,141369000000.0,3048398000000.0,1742063000000.0,40345000000.0,,,,,,,,119975000000.0,,575000000.0,,235812000000.0,,,57882000000.0,,,,,,,,,,70105000000.0,146359000000.0,2413116000000.0,635282000000.0,,1623815000000.0,90568000000.0,,,1597000000.0,,,,,1715980000000.0,1961911000000.0,,,,,12617000000.0,228000000.0,,1974756000000.0,-258776000000.0,,30062000000.0,,,289147000000.0,,,,319209000000.0,552571000000.0,20983000000.0,,,291000000.0,573845000000.0,-254636000000.0,44909000000.0,166779000000.0,,,,,2091466000000.0,2258245000000.0,定期报告,未审计,20240830,CNY,合并期末,2023-08-30T20:10:03
