报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额,收回的买入返售项净额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,收到利息,收到的手续费,金融企业往来收入收到的现金,中间业务收入收到的现金,证券投资收益收到的现金,汇兑净收益收到的现金,存入保证金收到的现金,销售商品、提供劳务收到的现金,贵金属现金流入,收到的委托资金,贴现收到的现金,其他负债增加流入的现金,收回的已于以前年度核销的贷款及应收款项,已核销呆账贷款及利息收回,处置抵债资产收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,存放中央银行,存放同业及其他机构存款,拆出资金净现金流出,偿还中央银行借款,支付的存款,减少同业及其他金融机构存放净额,偿还同业及其他金融机构拆入净额,偿还卖出回购款项净额,证券投资支出的现金,支付买入返售款项净额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,支付的利息,手续费支出支付的现金,支付给职工以及为职工支付的现金,以现金支付的营业费用,与金融机构往来支出的现金净额,贴现支付的现金,委托及代理业务减少额,贵金属现金流出,购买商品、接受劳务支付的现金,借入其他资金净减少额,其他资产减少支出的现金,为交易目的而持有的金融资产净增加额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,分得股利或利润所收到的现金,取得债券利息收入收到的现金,处置固定资产、无形资产及其他资产而收到的现金,处置股权投资所收到的现金,处置子公司及其他单位收到的现金,取得子公司及其他营业单位所收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,权益性投资增加支付的现金,债券投资所支付的现金,购买子公司、联营企业及合营企业投资所支付的现金净额,增加在建工程所支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,发行证券化资产所吸收的现金,取得借款收到的现金,发行债券收到的现金,发行次级债券收到的现金,增加股本所收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息支付的现金,偿付利息所支付的现金,支付新股发行费用,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,313386000000.0,,,,,,,,126593000000.0,68087000000.0,,,,,,,,,,,,,,,,,,4360000000.0,512426000000.0,218058000000.0,9134000000.0,,,66983000000.0,3720000000.0,,,94418000000.0,,,,,32651000000.0,,,10148000000.0,,,,,,,,,,5812000000.0,4741000000.0,446644000000.0,65782000000.0,,1311960000000.0,27264000000.0,,,28000000.0,,,,,1339252000000.0,1105050000000.0,,,,,2077000000.0,,,1107127000000.0,232125000000.0,,,,,349288000000.0,,,,349288000000.0,418674000000.0,15028000000.0,,,690000000.0,434392000000.0,-85104000000.0,-274000000.0,212529000000.0,,,,,787973000000.0,1000502000000.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T20:12:03
20251231,,,12072000000.0,816036000000.0,,,,63168000000.0,,,,55181000000.0,285413000000.0,,,,,,,,,,,,,,,,,,14180000000.0,1259421000000.0,278898000000.0,,,,78998000000.0,,,,,,,,,156486000000.0,,,35935000000.0,,,,,,,,,,34531000000.0,20917000000.0,605765000000.0,653656000000.0,,5398097000000.0,102317000000.0,,,253000000.0,,,,,5500667000000.0,5467335000000.0,,,,,13455000000.0,,,5480790000000.0,19877000000.0,,51982000000.0,,,1098907000000.0,,,,1150889000000.0,1408993000000.0,47291000000.0,,,5017000000.0,1548472000000.0,-397583000000.0,-580000000.0,275370000000.0,787973000000.0,512603000000.0,,,512603000000.0,787973000000.0,定期报告,是,20260327,CNY,合并期末,2026-03-26T22:40:04
20250930,,,12498000000.0,319389000000.0,,,,93918000000.0,,,,105940000000.0,218079000000.0,,,,,,,,,,,,,,,,,,15375000000.0,780050000000.0,292533000000.0,,,,73998000000.0,,,,,,,,,121849000000.0,,,25660000000.0,,,,,,,,,,27293000000.0,35814000000.0,577147000000.0,202903000000.0,,3780026000000.0,82645000000.0,,,293000000.0,,,,,3862964000000.0,3745701000000.0,,,,,8966000000.0,,,3754667000000.0,108297000000.0,,51985000000.0,,,775616000000.0,,,,827601000000.0,1099892000000.0,39851000000.0,,,61467000000.0,1201210000000.0,-373609000000.0,-307000000.0,-62716000000.0,,,,,512603000000.0,449887000000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:10:05
20250630,,,,192464000000.0,,,,38639000000.0,,,,5646000000.0,144748000000.0,,,,,,,,,,,,,,,,,,8327000000.0,397368000000.0,197019000000.0,,,,123417000000.0,21147000000.0,,,,,,,,80301000000.0,,,19503000000.0,,,,,,,,,,18374000000.0,15558000000.0,475319000000.0,-77951000000.0,,2415640000000.0,57989000000.0,,,281000000.0,,,,,2473910000000.0,2333552000000.0,,,,,7852000000.0,,,2341404000000.0,132506000000.0,,31991000000.0,,,528054000000.0,,,,560045000000.0,706051000000.0,36280000000.0,,,3473000000.0,745804000000.0,-185759000000.0,103000000.0,-131101000000.0,381502000000.0,512603000000.0,,,512603000000.0,381502000000.0,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:56:04
20250331,,,,224509000000.0,,,,,,,,29677000000.0,72940000000.0,,,,,,,,,,,,,,,,,,2204000000.0,329457000000.0,91097000000.0,9661000000.0,,,128670000000.0,21618000000.0,,,70452000000.0,,,,,35958000000.0,,,10417000000.0,,,,,,,,,,7807000000.0,13190000000.0,388870000000.0,-59413000000.0,,967908000000.0,29289000000.0,,,164000000.0,,,,,997361000000.0,1023581000000.0,,,,,870000000.0,,,1024451000000.0,-27090000000.0,,,,,320681000000.0,,,,320681000000.0,378221000000.0,5580000000.0,,,813000000.0,384614000000.0,-63933000000.0,75000000.0,-150361000000.0,,,,,512603000000.0,362242000000.0,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T22:44:03
20241231,,,,341693000000.0,,,,,56613000000.0,,,,313885000000.0,,,,,,,,,,,,,,,,,,13079000000.0,766552000000.0,325563000000.0,,,,,213222000000.0,,,154966000000.0,,,,,156355000000.0,,,34788000000.0,,,,,,,,,33497000000.0,34953000000.0,50413000000.0,1003810000000.0,-237258000000.0,,4135702000000.0,112495000000.0,,,847000000.0,,,,,4249044000000.0,4220480000000.0,,,,,5126000000.0,,,4225606000000.0,23438000000.0,,29974000000.0,,,1255112000000.0,,,,1285086000000.0,1032876000000.0,54288000000.0,,,3028000000.0,1090192000000.0,194894000000.0,252000000.0,-18674000000.0,512603000000.0,531277000000.0,,,531277000000.0,512603000000.0,定期报告,是,20260327,CNY,合并期末,2025-03-27T20:50:13
20240930,,,,140102000000.0,,,,,49930000000.0,,,23930000000.0,237126000000.0,,,,,,,,,,,,,,,,,,11120000000.0,509527000000.0,316789000000.0,,,,,107034000000.0,,,155824000000.0,,,,,114112000000.0,,,26544000000.0,,,,,,,,,,24767000000.0,27383000000.0,774581000000.0,-265054000000.0,,2959310000000.0,88123000000.0,,,132000000.0,,,,,3047565000000.0,2973065000000.0,,,,,2538000000.0,,,2975603000000.0,71962000000.0,,29975000000.0,,,850111000000.0,,,,880086000000.0,709555000000.0,46131000000.0,,,2254000000.0,757940000000.0,122146000000.0,-343000000.0,-71289000000.0,,,,,531277000000.0,459988000000.0,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T20:20:03
20240630,,,,330821000000.0,,,,,,,,,158053000000.0,,,,,,,,,,,,,,,,,,7298000000.0,547184000000.0,231738000000.0,,,,4381000000.0,91346000000.0,,,331695000000.0,,,,,77429000000.0,,,18234000000.0,,,,,,,,,33341000000.0,17168000000.0,26946000000.0,835624000000.0,-288440000000.0,,1882397000000.0,61801000000.0,,,81000000.0,,,,,1944279000000.0,1677248000000.0,,,,,1382000000.0,,,1678630000000.0,265649000000.0,,29975000000.0,,,722559000000.0,,,,752534000000.0,544344000000.0,14814000000.0,,,1489000000.0,560647000000.0,191887000000.0,127000000.0,169223000000.0,700500000000.0,531277000000.0,,,531277000000.0,700500000000.0,定期报告,未审计,20250829,CNY,合并期末,2024-08-22T19:35:04
20240331,,,,220785000000.0,,,44590000000.0,,,,,99529000000.0,79205000000.0,,,,,,,,,,,,,,,,,,6852000000.0,452176000000.0,97525000000.0,,,,61498000000.0,85821000000.0,,,156411000000.0,,,,,38323000000.0,,,10755000000.0,,,,,,,,,,7326000000.0,6769000000.0,464428000000.0,-12252000000.0,,886403000000.0,33956000000.0,,,12000000.0,,,,,920371000000.0,767542000000.0,,,,,627000000.0,,,768169000000.0,152202000000.0,,,,,312081000000.0,,,,312081000000.0,257618000000.0,7227000000.0,,,757000000.0,265602000000.0,46479000000.0,-36000000.0,186393000000.0,,,,,531277000000.0,717670000000.0,定期报告,未审计,20250430,CNY,合并期末,2024-04-25T20:10:03
20231231,,,209486000000.0,621844000000.0,,,,79460000000.0,,,,29330000000.0,316330000000.0,,,,,,,,,,,,,,,,,,20171000000.0,1276621000000.0,527710000000.0,5318000000.0,,,46175000000.0,,,,,,,,,145482000000.0,,,35160000000.0,,,,,,,,,,34260000000.0,39935000000.0,843004000000.0,433617000000.0,,2781613000000.0,113152000000.0,,,680000000.0,,,,,2895445000000.0,3007439000000.0,,,,,4907000000.0,,,3012346000000.0,-116901000000.0,,,,,1241328000000.0,,,,1241328000000.0,1369920000000.0,59146000000.0,,,3217000000.0,1432283000000.0,-190955000000.0,660000000.0,126421000000.0,531277000000.0,404856000000.0,,,404856000000.0,531277000000.0,定期报告,是,20250328,CNY,合并期末,2024-03-28T20:05:04
